Empresa;CUIT;Expte;Calle;Nro;Piso;Dpto;CPA;Localidad;Provincia;Telefono;RegComercializacion;RegFabricacion;Dispo;FechaDispo;Vence
CONECTAR S.R.L.;30-70755977-9;EX- -APN-REYS#ENACOM 76515473/2020;RECONQUISTA;574;2;D   ;1003;CABA;CIUDAD DE BUENOS AIRES;;30-3023;0;2651 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
CONECTIA WIRELESS S.A.;30-71052775-6;EXPCNC 9117/2008;HUMBERTO PRIMO;2244;PB        ;    ;C1229AAJ;CABA;CIUDAD DE BUENOS AIRES;(011  )5281-8845;30-1839;0;8511 APN-DNAYRT#ENACOM/2023;31/10/2023;31/10/2026
CONESA, EDGARDO;20-04698296-8;EXPCNC E 11848/1998;BLAS PARERA;1328;          ;    ;H3730AYB;CHARATA;CHACO;(03731)42  -1492;30-1239;0;4150 GI/1998;19/10/1998;19/10/2001
CONESA, EDGARDO;20-04698296-8;EXPCNC E 11848/1998;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1239;0;4150 GI/1998;19/10/1998;19/10/2001
CONGRESS NET ARGENTINA S.A.;30-70477854-2;EXPCNC 7996/2007;SUIPACHA;576;          ;    ;C1008AAL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4006-6500;30-1652;0;4335 GI/2007;24/09/2007;24/09/2010
CONNECT S.A.;30-63405190-9;;TACUARI;163;3;    ;C1071AAC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4331-7474;30-997;0;20 CN/1991;11/01/1991;11/01/1994
CONSTRURED S.R.L.;30-70716774-9;EXPCNC 316/2009;BASAVILBASO;547;          ;    ;B2930KUJ;SAN PEDRO;BUENOS AIRES;(03327)48  -1427;30-1728;0;220 GI/2009;22/01/2009;22/01/2012
CONSTRURED S.R.L.;30-70716774-9;EXPCNC 316/2009;TUCUMAN;540;15;E   ;C1049AAL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4325-1774;30-1728;0;220 GI/2009;22/01/2009;22/01/2012
CONSULFEM S.A.;30-63748972-7;EXPCNC E 2314/2000;MONSEÑOR PABLO CABRERA;5020;PB        ;    ;X5008HJP;CORDOBA;CORDOBA;(0351 )476 -0099;30-1365;02-464;4339 GI/2012;12/11/2012;12/11/2015
CONSULFEM S.A.;30-63748972-7;EXPCNC E 2314/2000;PARAGUAY;2341;          ;    ;1121;CABA;CIUDAD DE BUENOS AIRES;;30-1365;02-464;4339 GI/2012;12/11/2012;12/11/2015
CONTI, HUGO JORGE;20-11569183-0;EXPCNC 3529/2003;AVDA. SANTA FE;5278;          ;    ;C1425BIO;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4772-0551;30-1453;0;3130 GI/2003;24/07/2003;24/07/2006
CONTI, HUGO JORGE;20-11569183-0;EXPCNC 3529/2003;VILLA LUJAN;1869;          ;    ;B1824BMY;LANUS;BUENOS AIRES;(011  )4225-6342;30-1453;0;3130 GI/2003;24/07/2003;24/07/2006
CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LIMITADA;30-71063444-7;EXPCNC 2419/2013;ALEM LEANDRO NICEFORO;855;8º        ;    ;C1001AAD;CABA;CIUDAD DE BUENOS AIRES;(011  )5554-3603;30-2570;0;11309 APN-DNAYRT#ENACOM/2023;20/12/2023;20/12/2026
CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LIMITADA;30-71063444-7;EXPCNC 2419/2013;AV. DEL LIBERTADOR;5480;8;    ;1426;CABA;CIUDAD DE BUENOS AIRES;(011  )5554-3603;30-2570;0;11309 APN-DNAYRT#ENACOM/2023;20/12/2023;20/12/2026
CONTROL PARA LA INDUSTRIA S.A.;30-60447926-2;EXPCNC 6149/2010;BAUNESS CARLOS;2660;          ;    ;C1431DOF;CABA;CIUDAD DE BUENOS AIRES;(011  )6010-6318;30-2897;0;8822 APN-DNAYRT#ENACOM/2023;06/11/2023;06/11/2026
CONTROLES COMUNICACIONES S.A.;30-67735640-1;EXPCNC E 5473/1998;JOSE ANTONIO CABRERA;4621;          ;    ;C1414BGI;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4833-0020;30-1315;0;3658 GI/2004;29/10/2004;29/10/2007
CONVERTECH S.A.;30-70820344-7;EXPCNC 10688/2005;NEUQUEN;838;          ;    ;C1405CKH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4433-0297;30-1558;0;46 GI/2006;12/01/2006;12/01/2009
CONVERTECH S.A.;30-70820344-7;EXPCNC 10688/2005;SARMIENTO DOMINGO FAUSTINO;1562;3;F   ;C1042ABD;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4431-0695;30-1558;0;46 GI/2006;12/01/2006;12/01/2009
COOPERATIVA DE TRABAJO PRODUCCION TECNOLOGICA GRAFICA AUDIOVISUAL LIMITADA;30-71407164-1;EXPCNC 15030/2013;QUERANDIES;4290;4;    ;1217;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;0;02-532;410 GI/2014;06/02/2014;06/02/2015
COOPERATIVA REGIONAL DE ELECTRICIDAD, DE OBRAS Y OTROS SERVICIOS DE GENERAL PICO LIMITADA CORPICO;30-54571938-6;EX- -APN-ALYAT#ENACOM 61896199/2026;11;341;          ;    ;L6360AQG;GENERAL PICO;LA PAMPA;(02302)33  -5555;30-3122;0;8988 APN-DNLAYR#ENACOM/2026;22/07/2026;01/01/2099
COOPERATIVA REGIONAL DE ELECTRICIDAD, DE OBRAS Y OTROS SERVICIOS DE GENERAL PICO LIMITADA CORPICO;30-54571938-6;EX- -APN-ALYAT#ENACOM 61896199/2026;AVDA. LEANDRO N. ALEM;530;3º        ;    ;C1001AAN;CABA;CIUDAD DE BUENOS AIRES;(011  )4893-1471;30-3122;0;8988 APN-DNLAYR#ENACOM/2026;22/07/2026;01/01/2099
COOPERATIVA TELEFONICA DE CALAFATE LIMITADA;30-57143756-9;EXPCNC 890/2007;CNEL. DE MARINA TOMAS ESPORA;194;          ;    ;Z9405BWD;EL CALAFATE;SANTA CRUZ;;30-1619;0;1022 GI/2007;19/02/2007;19/02/2010
COOPERATIVA TELEFONICA DE CALAFATE LIMITADA;30-57143756-9;EXPCNC 890/2007;PIEDRAS;338;          ;    ;C1070AAH;CABA;CIUDAD DE BUENOS AIRES;(011  )5032-0250;30-1619;0;1022 GI/2007;19/02/2007;19/02/2010
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA;30-54579512-0;EXPCNC E 3147/1999;AVDA. 3 Y PASEO Nº 113;1305;          ;    ;7165;VILLA GESELL;BUENOS AIRES;(011  )4053-9220;30-1337;0;976 GI/1999;30/03/1999;30/03/2002
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA;30-54579512-0;EXPCNC E 3147/1999;YERBAL;2546;6°        ;B   ;1406;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-1337;0;976 GI/1999;30/03/1999;30/03/2002
COPECA S.R.L.;30-53136512-3;;ALVARADO;1920;PB        ;    ;C1290AAB;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-892;02-410;4001 SU/1988;05/01/1988;05/01/1991
COPPEL S.A.;30-71041150-2;EXPENACOM 8399/2017;SANTIAGO DEL ESTERO;1571;          ;    ;B1648BNM;TIGRE;BUENOS AIRES;(011  )5555-2550;30-2317;0;235 -APN-DNAYRT#ENACOM/2017;07/06/2017;17/01/2021
COPPEL S.A.;30-71041150-2;EXPENACOM 8399/2017;VIAMONTE;1145;8;    ;C1053ABW;CABA;CIUDAD DE BUENOS AIRES;;30-2317;0;235 -APN-DNAYRT#ENACOM/2017;07/06/2017;17/01/2021
CORA-DIR S.A.;30-67338016-2;EXPCNC 7253/2002;BARTOLOME MITRE;701;          ;    ;1036;CABA;CIUDAD DE BUENOS AIRES;;30-2068;02-546;942 GI/2015;19/03/2015;19/03/2018
CORA-DIR S.A.;30-67338016-2;EXPCNC 7253/2002;RUTA NUMERO 3 KM 0.6;S/N;          ;    ;5700;SAN LUIS;SAN LUIS;(0266 )445 -8255;30-2068;02-546;942 GI/2015;19/03/2015;19/03/2018
CORCISA S.A.;30-69609053-6;EXPENACOM 911/2017;AVENIDA BRASIL;2669;          ;    ;1260;CABA;CIUDAD DE BUENOS AIRES;(011  )4943-8000;30-2306;0;87 -APN-DNAYRT#ENACOM/2017;21/04/2017;17/01/2021
CORESA GROUP S.R.L.;30-71178446-9;EX- -APN-REYS#ENACOM 119765868/2021;DEL LIBERTADOR;602;PB        ;    ;1001;CABA;CIUDAD DE BUENOS AIRES;(0810 )222 -2882;30-2771;02-625;495 APN-DNAYRT#ENACOM/2022;03/02/2022;03/02/2025
CORESA GROUP S.R.L.;30-71178446-9;EX- -APN-REYS#ENACOM 119765868/2021;LAVALLE;2051;1;5;1051;CABA;CIUDAD DE BUENOS AIRES;(0810 )222 -2882;30-2771;02-625;495 APN-DNAYRT#ENACOM/2022;03/02/2022;03/02/2025
CORPORACION IMPORTADORA Y EXPORTADORA S.A.;30-59059299-0;EXPCNC E 5711/1999;IRIGOYEN DOCTOR BERNARDO DE;308;          ;    ;C1072AAH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1343;0;2253 GI/1999;16/06/1999;16/06/2002
CORPORACION IMPORTADORA Y EXPORTADORA S.A.;30-59059299-0;EXPCNC E 5711/1999;SARMIENTO DOMINGO FAUSTINO (SEGUNDO CUERPO);1426;4;C   ;C1042ABB;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1343;0;2253 GI/1999;16/06/1999;16/06/2002
CORPORACION TELEFONICA INTERNACIONAL;30-67813632-4;EXPCNT 10974/1994;BERNARDO DE IRIGOYEN;1312;          ;    ;C1138ABD;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1227;0;2136 CN/1994;06/10/1994;06/10/1997
CORPORATE CORP S.A.;33-70941686-9;EXPCNC 8242/2010;RODRIGUEZ PEÑA;434;4;A 11;1020;CABA;CIUDAD DE BUENOS AIRES;;30-2407;0;1070 APN-DNAYRT#ENACOM/2018;22/02/2018;22/02/2021
CORTESFILMS ARGENTINA S.A.;30-53753449-0;;SAN MARTIN;323;18;    ;C1004AAG;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1071;0;313 CN/1991;28/06/1991;28/06/1994
CORVEN MOTORS ARGENTINA S.A.;30-71027733-4;EX- -APN-SDYME#ENACOM 99778596/2019;MARCOS CIANI;2118;          ;    ;2600;VENADO TUERTO;SANTA FE;(011  )3157-7566;30-3045;0;1244 APN-DNLAYR#ENACOM/2025;08/10/2025;08/10/2028
CORVEN MOTORS ARGENTINA S.A.;30-71027733-4;EX- -APN-SDYME#ENACOM 99778596/2019;PATAGONES;2937;          ;    ;1437;CABA;CIUDAD DE BUENOS AIRES;(011  )000 -0000;30-3045;0;1244 APN-DNLAYR#ENACOM/2025;08/10/2025;08/10/2028
COS MANTENIMIENTO S.A.;30-70863235-6;EXPCNC 706/2009;FLORIDA;537;26;A   ;C1005AAK;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4000-6850;30-1732;0;646 GI/2009;18/02/2009;18/02/2012
COSECUR S.A.;30-64525594-8;;SOLER GRAL MIGUEL ESTANISLAO;4191;1;    ;C1425BWS;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1164;0;4003 CN/1992;29/10/1992;29/10/1995
COTO CENTRO INTEGRAL DE COMERCIALIZACION S.A.;30-54808315-6;EXPCNC 8526/2013;PAYSANDU;1842;          ;    ;C1416CDP;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-2769;0;358 APN-DNAYRT#ENACOM/2025;24/02/2025;24/02/2028
COVIDIEN ARGENTINA S.A.;30-71252366-9;EXPAFTIC 5203/2015;VEDIA;3616;2;    ;C1430DAH;CABA;CIUDAD DE BUENOS AIRES;(011  )5297-7200;30-3038;0;818 APN-DNLAYR#ENACOM/2025;25/09/2025;25/09/2028
CRAYON WEB S.R.L.;30-71015683-9;EXPCNC 3748/2015;DORREGO;40;0;5;2000;ROSARIO;SANTA FE;(0341 )501 -6820;30-2077;0;1462 GI/2015;23/04/2015;23/04/2018
CRAYON WEB S.R.L.;30-71015683-9;EXPCNC 3748/2015;PERON TTE GRAL JUAN DOMINGO;1642;5;50;C1037ACF;CABA;CIUDAD DE BUENOS AIRES;;30-2077;0;1462 GI/2015;23/04/2015;23/04/2018
CREATIVE INVESTMENTS S.R.L.;30-71102029-9;EXPCNC 10923/2009;BROWN ALTE GUILLERMO;686;          ;    ;B1642DSN;SAN ISIDRO;BUENOS AIRES;(011  )6490-3300;30-1756;0;3672 GI/2009;27/10/2009;27/10/2012
CREATIVE INVESTMENTS S.R.L.;30-71102029-9;EXPCNC 10923/2009;LARRALDE CRISOLOGO;1935;15;E   ;C1429BSJ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1756;0;3672 GI/2009;27/10/2009;27/10/2012
CREDIL S.R.L.;30-62221630-9;EXPCNC E 3505/2001;CALLE 15;1437;PB        ;    ;1904;LA PLATA;BUENOS AIRES;;30-1394;0;569 GI/2011;17/02/2011;17/02/2014
CRIMSON S.R.L.;30-62385741-3;EXPCNT E 36049/1996;BALCARCE;21;1;D   ;B1704ATA;RAMOS MEJIA;BUENOS AIRES;(011  )4653-6343;30-1281;0;3946 GI/1996;04/11/1996;04/11/1999
CRIMSON S.R.L.;30-62385741-3;EXPCNT E 36049/1996;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1281;0;3946 GI/1996;04/11/1996;04/11/1999
CRINSURANCE SOCIEDAD POR ACCIONES SIMPLIFICADA;30-71643218-8;EX- -APN-ALYAT#ENACOM 63687632/2026;44;793;          ;    ;1900;LA PLATA;BUENOS AIRES;(0221 )537 -6233;30-3128;0;9265 APN-DNLAYR#ENACOM/2026;03/08/2026;01/01/2099
CRONOS S.A.I.C.;30-50155507-6;EXPCNT 10974/1994;SAN MARTIN;663;PB        ;4;C1004AAM;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4312-3061;30-1230;02-467;2136 CN/1994;06/10/1994;06/10/1997
CUBIKO S.R.L.;30-71912012-8;EX- -APN-ALYAT#ENACOM 44641386/2026;MILLER;4297;4;A   ;1430;CABA;CIUDAD DE BUENOS AIRES;(011  )6461-0805;30-3099;02-689;7935 APN-DNLAYR#ENACOM/2026;26/05/2026;01/01/2099
CULLA, ADRIANA ALICIA;27-12646883-6;EX- -APN-SDYME#ENACOM 3525160/2019;25 DE MAYO;578;3;    ;1002;CABA;CIUDAD DE BUENOS AIRES;(011  )5217-9472;30-2485;0;2996 APN-DNAYRT#ENACOM/2019;12/03/2019;12/03/2022
CV CONTROL S.A.;30-65707539-2;EX- -APN-REYS#ENACOM 96082374/2021;INDEPENDENCIA;3700;          ;    ;1226;CABA;CIUDAD DE BUENOS AIRES;(011  )4932-2322;30-2751;0;11177 APN-DNAYRT#ENACOM/2024;16/10/2024;16/10/2027
CYBERCOM CABLE & WIRELESS S.R.L.;30-70998127-3;EXPCNC 1778/2009;MORENO DOCTOR MARIANO;850;13;A   ;C1091AAR;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1736;0;808 GI/2009;11/03/2009;11/03/2012
CYBERLOGIC S.R.L.;30-71180316-1;EXPCNC 7351/2013;CULPINA;1361;          ;    ;C1406EQA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )2060-9911;30-1930;0;2691 GI/2013;07/08/2013;07/08/2016
D AGOSTINO, FERNANDO MARIA;20-12210574-2;;9 DE JULIO;1196;          ;    ;E3109AIX;VIALE;ENTRE RIOS;(0343 )492 -1034;0;02-464;152 CN/1993;03/12/1993;03/12/1996
D AGOSTINO, FERNANDO MARIA;20-12210574-2;;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;0;02-464;152 CN/1993;03/12/1993;03/12/1996
D ALICANDRO, HECTOR EDUARDO;20-08558505-4;EXPCNC 10596/2006;CARRANZA ANGEL JUSTINIANO;1853;          ;    ;C1414COU;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1623;0;1388 GI/2007;03/04/2007;03/04/2010
D ALICANDRO, HECTOR EDUARDO;20-08558505-4;EXPCNC 10596/2006;FRANKLIN BENJAMIN;837;          ;    ;B1603BRQ;VILLA MARTELLI;BUENOS AIRES;(011  )4709-1450;30-1623;0;1388 GI/2007;03/04/2007;03/04/2010
D AMBROS, SERGIO ANIBAL;20-14687720-7;EXPCNC E 1918/1997;CATAMARCA;175;          ;    ;E3200EIC;CONCORDIA;ENTRE RIOS;(0345 )421 -1362;30-1209;0;356 GI/1997;09/04/1997;09/04/2000
D AMBROS, SERGIO ANIBAL;20-14687720-7;EXPCNC E 1918/1997;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1209;0;356 GI/1997;09/04/1997;09/04/2000
D-LINK SUDAMERICA S.A. SUCURSAL ARGENTINA;30-70984650-3;EXPCNC 2471/2007;PELLEGRINI CARLOS;989;10;    ;C1009ABS;CABA;CIUDAD DE BUENOS AIRES;(011  )5246-6640;30-1963;0;5052 GI/2013;11/12/2013;11/12/2016
D.F. MEGAFRIO S.R.L.;30-69255874-6;EX- -APN-ALYAT#ENACOM 53470267/2026;CASILDO VILLAR;435;          ;    ;7600;MAR DEL PLATA;BUENOS AIRES;(0223 )618 -6323;30-3112;0;8774 APN-DNLAYR#ENACOM/2026;14/07/2026;01/01/2099
DACAS S.A.;30-66293707-6;EXPCNC 220/2005;IGNACIO NUÑEZ;3481;          ;    ;1430;CABA;CIUDAD DE BUENOS AIRES;(011  )4545-6333;30-2582;0;2020 APN-DNAYRT#ENACOM/2020;15/01/2020;15/01/2023
DAEC ELECTRONICA S.C.;30-62054867-3;;AVILES VIRREY GABRIEL;3119;          ;    ;C1426EEE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-963;0;225 GI/1990;20/02/1990;20/02/1993
DAEC ELECTRONICA S.C.;30-62054867-3;;ESPORA CNEL DE MARINA TOMAS;1295;          ;    ;B7001CFA;TANDIL;BUENOS AIRES;(02293)44  -2033;30-963;0;225 GI/1990;20/02/1990;20/02/1993
DAIKIN AIR CONDITIONING ARGENTINA S.A.;30-70749662-9;EX- -APN-REYS#ENACOM 77893105/2020;CORRIENTES;330;6;612;C1043AAQ;CABA;CIUDAD DE BUENOS AIRES;(011  )4326-8881;30-2667;02-603;5195 APN-DNAYRT#ENACOM/2020;29/12/2020;29/12/2023
DAIKIN AIR CONDITIONING ARGENTINA S.A.;30-70749662-9;EX- -APN-REYS#ENACOM 77893105/2020;DEL LIBERTADOR;1295;2;    ;B1638BEL;VICENTE LOPEZ;BUENOS AIRES;(011  )7090-4400;30-2667;02-603;5195 APN-DNAYRT#ENACOM/2020;29/12/2020;29/12/2023
DAL SANTO INDUSTRIAL Y COMERCIAL S.A.;30-55356660-2;EXPENACOM 8509/2016;OTTO KRAUSE;4551;          ;    ;1067;TORTUGUITAS;BUENOS AIRES;(03327)455 -0400;30-2226;0;6643 -E-APN-ENACOM#MCO/2016;14/09/2016;14/09/2019
DAL SANTO INDUSTRIAL Y COMERCIAL S.A.;30-55356660-2;EXPENACOM 8509/2016;VENEZUELA;110;5;H   ;C1095AAD;CABA;CIUDAD DE BUENOS AIRES;(011  )4331-2219;30-2226;0;6643 -E-APN-ENACOM#MCO/2016;14/09/2016;14/09/2019
DALUX S.A.;30-70931715-2;EXPCNC 589/2007;DEAN FUNES GREGORIO;52;1;116;X5000AAB;CORDOBA;CORDOBA;(0351 )481 -5982;30-2248;0;7317 -E-APN-ENACOM#MCO/2016;20/10/2016;20/10/2019
DALUX S.A.;30-70931715-2;EXPCNC 589/2007;IBERA;4656;          ;    ;C1431AEB;CABA;CIUDAD DE BUENOS AIRES;(011  )4545-1155;30-2248;0;7317 -E-APN-ENACOM#MCO/2016;20/10/2016;20/10/2019
DAMEZ ELECTRONICA PROFESIONAL S.R.L.;30-62467063-5;EXPCNC 6803/2005;PADRE FAHY;2738;          ;    ;C1417CNB;CABA;CIUDAD DE BUENOS AIRES;(011  )4639-1014;30-2926;02-661;3301 APN-DNAYRT#ENACOM/2024;04/04/2024;04/04/2027
DANAIDE S.A.;30-70168121-1;EXPCNC 8381/2007;CALLE 168;1107;          ;    ;1923;BERISSO;BUENOS AIRES;;30-1659;0;4555 GI/2007;05/10/2007;05/10/2010
DANAIDE S.A.;30-70168121-1;EXPCNC 8381/2007;TUCUMAN;1561;1;6;C1050AAE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1659;0;4555 GI/2007;05/10/2007;05/10/2010
DANFOSS SOCIEDAD ANONIMA;33-51644453-9;EX- -APN-REYS#ENACOM 92937746/2022;CAZADORES DE COQUIMBO;2841;          ;    ;1605;MUNRO;BUENOS AIRES;(011  )5556-7000;30-3052;0;3713 APN-DNLAYR#ENACOM/2025;12/11/2025;12/11/2028
DANFOSS SOCIEDAD ANONIMA;33-51644453-9;EX- -APN-REYS#ENACOM 92937746/2022;JURAMENTO;2161;6;A   ;1428;CABA;CIUDAD DE BUENOS AIRES;;30-3052;0;3713 APN-DNLAYR#ENACOM/2025;12/11/2025;12/11/2028
DANIEL QUIROGA S.R.L.;30-64366511-1;EXPCNC E 5112/1998;AVDA. JOSE IGNACIO DE LA ROZA (OESTE);532;          ;    ;J5402DCS;SAN JUAN;SAN JUAN;(0264 )420 -0788;30-1241;0;2102 GI/1998;21/05/1998;21/05/2001
DANIEL QUIROGA S.R.L.;30-64366511-1;EXPCNC E 5112/1998;MALABIA;2432;22;B   ;C1425EZJ;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1241;0;2102 GI/1998;21/05/1998;21/05/2001
DATANDHOME SUPPLIER S.A.;30-70806550-8;EXPCNC 8875/2013;CORDOBA;1417;2;D   ;1055;CABA;CIUDAD DE BUENOS AIRES;(011  )4545-5100;30-2756;0;4996 APN-DNAYRT#ENACOM/2021;15/11/2021;15/11/2024
DATAWAVES S.R.L.;33-62634638-9;EXPCNC E 6455/1997;THAMES JOSE IGNACIO;1368;          ;    ;C1414DDB;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1301;0;2491 GI/1997;28/08/1997;28/08/2000
DATCO S.A.;30-59611620-1;EXPCNC 11225/2006;SAN MARTIN;638;3;    ;C1004AAN;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4103-1300;30-1608;0;2902 GI/2010;23/08/2010;23/08/2013
DAXA ARGENTINA S.A.;30-70724707-6;EXPCNC E 7420/2000;VENEZUELA;151;4º        ;    ;C1095AAC;CABA;CIUDAD DE BUENOS AIRES;;30-2571;0;13016 APN-DNAYRT#ENACOM/2019;23/12/2019;23/12/2022
DC LOGISTICS S.A.;30-71573740-6;EX- -APN-SDYME#ENACOM 105078931/2019;AYACUCHO;1427;1;    ;1111;CABA;CIUDAD DE BUENOS AIRES;(011  )5353-8770;30-2566;0;12407 APN-DNAYRT#ENACOM/2019;04/12/2019;04/12/2022
DE CASTRO CECILLON, JEAN PIERRE;20-93795763-8;EXPCNC 429/2012;ARCOS ING ANTONIO;2145;8;B   ;C1428AFG;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4896-1284;30-1859;0;434 GI/2012;02/02/2012;02/02/2015
DEER TECNOLOGY S.A.;30-71667850-0;EX- -APN-ALYAT#ENACOM 62335449/2026;CONESA;2221;6º        ;A   ;1428;CABA;CIUDAD DE BUENOS AIRES;(011  )3411-5309;31-3123;0;9295 APN-DNLAYR#ENACOM/2026;22/07/2026;01/01/2099
DEITRES S.A.;30-71109039-4;EX- -APN-REYS#ENACOM 105473976/2022;SAN LUIS;4580;5;1;7600;MAR DEL PLATA;BUENOS AIRES;(0223 )495 -2500;30-2842;0;4423 -APN-DNLAYR#ENACOM/2025;01/12/2025;01/12/2028
DEITRES S.A.;30-71109039-4;EX- -APN-REYS#ENACOM 105473976/2022;YERBAL;1065;          ;    ;C1406GJA;CABA;CIUDAD DE BUENOS AIRES;;30-2842;0;4423 -APN-DNLAYR#ENACOM/2025;01/12/2025;01/12/2028
DEKALB ARGENTINA S.A.;33-51160816-9;;MAIPU;1252;1;    ;C1006ACT;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4311-8634;30-1205;0;152 CN/1993;03/12/1993;03/12/1996
DELAVAL S.A.;30-57253099-6;EXPAFTIC 6179/2015;ITALIA;772;          ;    ;S2535CUP;EL TREBOL;SANTA FE;(03401)42  -2192;30-2928;0;4180 APN-DNAYRT#ENACOM/2024;22/04/2024;22/04/2027
DELAVAL S.A.;30-57253099-6;EXPAFTIC 6179/2015;TUCUMAN;141;          ;    ;C1049AAC;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-2928;0;4180 APN-DNAYRT#ENACOM/2024;22/04/2024;22/04/2027
DELFAU S.A.;33-61262171-9;EXPCNC 6236/2005;MANUEL GARCIA;276;          ;    ;C1284ACF;CABA;CIUDAD DE BUENOS AIRES;;30-2496;0;1420 APN-DNAYRT#ENACOM/2022;12/03/2022;12/03/2025
DELL AMERICA LATINA CORP.;30-70719842-3;EXPCNC 9422/2004;JUANA MANSO;1069;5º        ;    ;C1107CBU;CABA;CIUDAD DE BUENOS AIRES;(011  )4515-7100;30-1508;0;6216 -APN-DNAYRT#ENACOM/2023;14/07/2023;14/07/2026
DELOS SUDAMERICANA S.A.;30-62866167-3;;RAWSON;345;          ;    ;C1182ACE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4982-4221;30-1090;0;344 CN/1991;12/07/1991;12/07/1994
DELSAT GROUP S.A.;30-68136213-0;EXPCNC 1185/2007;9 DE JULIO;3061;          ;    ;B7600GZO;MAR DEL PLATA;BUENOS AIRES;(0223 )494 -5001;30-2848;02-639;4639 APN-DNLAYR#ENACOM/2025;03/12/2025;03/12/2028
DELSAT GROUP S.A.;30-68136213-0;EXPCNC 1185/2007;BRASIL;123;1;17;C1063AAC;CABA;CIUDAD DE BUENOS AIRES;;30-2848;02-639;4639 APN-DNLAYR#ENACOM/2025;03/12/2025;03/12/2028
DELTA COMUNICACIONES S.R.L.;30-57089676-4;;FRANCIA;3825;          ;    ;B1604COQ;FLORIDA OESTE;BUENOS AIRES;(011  )4760-8426;30-570;02-266;2217 CN/1992;07/08/1992;07/08/1995
DELTA COMUNICACIONES S.R.L.;30-57089676-4;;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-570;02-266;2217 CN/1992;07/08/1992;07/08/1995
DELTALUX S.A.;30-70891354-1;EXPCNC 7406/2004;PEÑA;2695;PB        ;    ;C1425AVC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(0351 )246 -4065;30-1498;0;4029 GI/2008;11/11/2008;11/11/2011
