empresa,telefono,es_movil,email,sitio_web,rubro,ciudad
Delegación Avellaneda,+54 11 4208 2035,no,,https://www.argentina.gob.ar/policia-federal-argentina,police,CABA
TuSitioYa,+54 11 4588-0069,no,,https://www.tusitioya.com.ar/,company,CABA
Dirección Nacional del Antártico,+54 11 4331-2900,no,info@dna.gob.ar,http://www.dna.gov.ar/,government,CABA
Kalimnnos,+54 11 4981-2488,no,,https://kalimnosgourmet.com.ar/,deli,CABA
Bao,+54 11 4981-3561,no,,http://www.hotelbao.com.ar,love_hotel,CABA
Retamas,+54 11 4553-9007,no,,,cafe,CABA
Escuela Alamos,+54 11 4983-1676,no,alamosescuela@live.com.ar,http://alamosescuela.com.ar/,school,CABA
Evangel jeans•Galeria el reloj,+54 11 2376-2956,no,,,clothes,CABA
Staff Nails,+54 11 4552-1091,no,,,beauty,CABA
Croxi,+54 11 4555-3334,no,,,restaurant,CABA
Jolie Bistro,+54 11 4551-0766,no,,https://www.joliebistro.com.ar/,restaurant,CABA
Ròncole,+54 11 3534-7295,no,,,restaurant,CABA
Tea Connection,+54 11 4553-6496,no,conde@teaconnection.com.ar,https://www.teaconnection.com.ar/,tea,CABA
Oppel,+54 11 4554-1444,no,belgranor@oppel.com.ar,http://www.oppel.com.ar/,estate_agent,CABA
Caleidoscopio,+54 11 4552-2144,no,,https://caleidoscopiolibros.com/,books,CABA
Enamorada del muro,+54 11 4555-5422,no,info@enamoradadelmuro.com,https://www.enamoradadelmuro.com/,interior_decoration,CABA
Maru Botana,+54 11 4551-8887,no,echeverria@marubotana.com,http://www.marubotana.com/,cafe,CABA
Emede,+54 11 4556-0506,no,,http://www.emedehelados.com.ar/,ice_cream,CABA
Sergio Arias,+54 11 4551-2398,no,ventas@sergioarias.com.ar,http://www.sergioarias.com.ar/,estate_agent,CABA
Talleres Álvarez,+54 11 4786-0979,no,talleresalvarez@hotmail.com,,car_repair,CABA
Royal Einfeld,+54 11 4551-7333,no,,https://cordascoroyalenfield.com.ar/,motorcycle,CABA
Mega Station,,no,megastationsrl@gmail.com,https://megastation.com.ar/,mobile_phone,CABA
Almacén de Pizzas,+54 11 5263-9806,no,,https://almacendepizzas.com/,restaurant,CABA
Freddo,+54 810 333 7333,no,,http://www.freddo.com.ar/,ice_cream,CABA
New Garden,+54 11 4554-9583,no,,http://www.newgarden.com.ar/,convenience,CABA
The Cavern Bar,+54 11 4554-2963,no,,https://www.thecavern.com.ar/,fast_food,CABA
Crisol,+54 11 4555-5576,no,info@crisolweb.com.ar,https://www.crisolweb.com.ar/,cafe,CABA
ALOT,+54 11 4553-1059,no,elcano@staples.com.ar,https://alot.com.ar/,stationery,CABA
Tienda de Café,+54 11 4555-4383,no,,https://www.tiendadecafe.com.ar/,cafe,CABA
Starbucks,+54 11 4554-7122,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Briomaq,+54 11 4568-9902,no,briomaq@briomaq.com,https://briomaq.com/,hardware,CABA
Instituto Hogar de Niños Ramón L. Falcón,+54 11 4931-3159,no,irfalcon@fibertel.com.ar,,school,CABA
Top's,+54 11 4672 8396,no,,,love_hotel,CABA
Endocrinologa Infantil,+54 11 4524-0206,no,,,doctors,CABA
Escuela Primaria Común 02 Florencio Varela,+54 11 4611-7452,no,dep_epc2_de12@bue.edu.ar,,school,CABA
Salón Berlín,+54 11 4771-5000,no,,https://salonberlin.com.ar/,hairdresser,CABA
The Roxy Live!,+54 11 4777-0997,no,info@roxylive.com.ar,http://www.theroxylive.com.ar/,nightclub,CABA
El Milenio,+54 11 4301-9719,no,,,restaurant,CABA
Org tech,+54 11 4504-7442,no,galloguillermo@hotmail.com,http://www.orgtechweb.com,car_parts,CABA
Ascorti,+54 11 4555-3519,no,info@libreriaascorti.com.ar,https://www.libreriaascorti.com.ar/,stationery,CABA
Subway,+54 11 4553-5007,no,,https://www.subwayargentina.com/,fast_food,CABA
Compañia de Juguetes,+54 11 4553-5648,no,belgranor@companiadejuguetes.com,https://www.companiadejuguetes.com/,toys,CABA
Piero,+54 11 4554-9116,no,belgrano@dormipiero.com.ar,https://www.piero.com.ar/,bed,CABA
Arredo,+54 11 4554-6393,no,,https://www.arredo.com.ar/,bed,CABA
Baltimore,+54 11 4554-9494,no,,,alcohol,CABA
Jardín de Infantes Nucleado B (EPCjc 08/20°) [Sede],+54 11 4642-5524,no,dei_jinb8_de20@bue.edu.ar,,kindergarten,CABA
Banco CMF SA,+54 11 4318-6800,no,cbaez@cmfb.com.ar,http://www.cmfb.com.ar,bank,CABA
Daniel,+54 11 4773-0185,no,info@heladosdaniel.com.ar,http://www.heladosdaniel.com.ar/,ice_cream,CABA
by Glennen Estilistas,+54 11 4922-9125,no,,,hairdresser,CABA
Embajada de Bélgica,+54 11 4313-7272,no,buenosaires@diplobel.fed.be,https://argentina.diplomatie.belgium.be/,diplomatic,CABA
Embajada del Reino de los Países Bajos en Buenos Aires,+54 11 4338-0050,no,bue@minbuza.nl,http://argentina.nlembajada.org/,diplomatic,CABA
Embajada de Bolivia,+54 11 4394-1463,no,secretaria@embajadadebolivia.com.ar,https://www.embajadadebolivia.com.ar/,diplomatic,CABA
Montagne Outlet,+54 11 4771-7513,no,,http://www.montagneoutdoors.com.ar/,outdoor,CABA
Embajada de República Democrática del Congo,+54 11 4776-2933,no,rdcbuenos@hotmail.com,,diplomatic,CABA
Embajada de Costa Rica,+54 11 2150-7180,no,embcr-ar@rree.go.cr,,diplomatic,CABA
Adorables Amigos,+54 11 4040-9944,no,,,pet,CABA
telisatel service,+54 11 5400-6666,no,telisatel@msn.com,http://www.facebook.com/malabia1491,computer,CABA
Embajada de Dinamarca,+54 11 4312-6901,no,bueamb@um.dk,http://argentina.um.dk/,diplomatic,CABA
Embajada de la República Dominicana,+54 11 4312-9378,no,embajada@embajadadominicana.com.ar,https://www.embajadadominicana.com.ar/,diplomatic,CABA
LUBRICENTRO JAR,+54 11 4572-8558,no,info@lubricentrojar.com.ar,https://www.lubricentrojar.com.ar/,car_repair,CABA
Tilo,+54 11 4771-3777,no,,,restaurant,CABA
La Unión,+54 11 4671-1866,no,,,bakery,CABA
Espacio Placer,+54 810 444 0344,no,espacioplacer@espacioplacer.com.ar,https://www.espacioplacer.com.ar/,erotic,CABA
Cantegril,+54 11 4771-2201,no,,,restaurant,CABA
Embajada de Ecuador,+54 11 4804-0073,no,,https://www.cancilleria.gob.ec/argentina,diplomatic,CABA
Embajada de El Salvador,+54 11 4813-2525,no,consulta_comunicaciones@rree.gob.sv,http://embajadaargentina.rree.gob.sv/,diplomatic,CABA
Embajada de Eslovenia,+54 11 4894-0621,no,vba@gov.si,http://www.buenosaires.veleposlanistvo.si/,diplomatic,CABA
Embajada de Finlandia,+54 11 4312-0600,no,sanomat.bue@formin.fi,http://www.finlandia.org.ar/,diplomatic,CABA
Dinosaurio Mall,+54 351 526 1500,no,,https://www.grupodinosaurio.com/,mall,Cordoba
Club Milanesa,+54 351 460 8080,no,,https://www.elclubdelamilanesa.com/,restaurant,Cordoba
Disco,+54 351 433-3004,no,,,supermarket,Cordoba
Disco,+54 351 433-3000,no,,,supermarket,Cordoba
Sanatorio Allende,+54 351 4269212,no,,https://www.sanatorioallende.com/,hospital,Cordoba
Todo Suspensión,+54 3543 43 6565,no,,,car_parts,Cordoba
Comedor Universitario,+54 0351 5353910 int. 1,no,comedor@bienestar.unc.edu.ar,https://www.unc.edu.ar/vida-estudiantil/direcci%C3%B3n-de-nutrici%C3%B3n-y-servicios-alimentarios,fast_food,Cordoba
El Sotano,+54 351 4256819,no,,,hardware,Cordoba
El Sotano,+54 351 4239651,no,,,hardware,Cordoba
BBVA Francés,+543514106310,no,,https://www.bbva.com.ar,bank,Cordoba
Banco Patagonia,+543514468300,no,,http://www.bancopatagonia.com/,bank,Cordoba
1+1,+54 9 351 505 0000,si,,,love_hotel,Cordoba
mini Super,,no,minisuperas@gmail.com,,supermarket,Cordoba
YPF,+54 351 461 7222,no,,,fuel,Cordoba
Farmacia Moderna 5,+54 351 568 0181,no,,https://www.redmoderna.com.ar/,pharmacy,Cordoba
Banco Nación,+54 351 433 8692,no,,http://www.bna.com.ar/,bank,Cordoba
Peluquería Giorgio,+543514229576,no,,,hairdresser,Cordoba
Aries,+54 351 480 3204,no,,,pharmacy,Cordoba
Aries II,+54 351 487 6044,no,,,kiosk,Cordoba
Macro,+54 810 345 4999,no,,https://www.itau.com.ar/,bank,Cordoba
Correo Argentino,+54 351 428 9137,no,,http://www.correoargentino.com.ar/,post_office,Cordoba
Oveja Negra,+54 351 589 5666,no,,https://www.facebook.com/OvejaNegraLomos,restaurant,Cordoba
RepensarMe - Consultorio Psicologico,+5493513517423,si,,www.facebook.com/Repensarme,doctors,Cordoba
Antares,+54 351 424 5785,no,,http://www.cervezaantares.com/shops.php?iId=63,bar,Cordoba
Jerome Brew Pub Express Córdoba,+54 9 351 518 0354,si,,,bar,Cordoba
Rockería Trashed,+573463409865,no,,https://www.facebook.com/rockeriatrashed,gift,Cordoba
Rockería Trashed,+153463409865,si,,,gift,Cordoba
Café Martínez,+54 3543 40-2323,no,cordoba@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,Cordoba
Pronta Pizza,+54 351 462 2284,no,,https://www.pizzapronta.com/index.asp,fast_food,Cordoba
Axion,+54 351 465 1337,no,,,fuel,Cordoba
HEISENBERG – BAR & LAB,+54 351 731 8038,no,,https://heisenbergbar.ar/,bar,Cordoba
Reset Argentina,0351 46906900,no,,https://resetargentina.com.ar/,electronics,Cordoba
Manifesto,+54 351 474 0972,no,,https://www.manifesto.com.ar/,yes,Cordoba
Escuela Mariano Fragueiro,+54 351 434 8915,no,,,school,Cordoba
ESCUELA PROVINCIA DE FORMOSA,+54 351 433 6048,no,primariaformosa@hotmail.com.ar,,school,Cordoba
San Ramon Nonato,+54 351 451 6315,no,,,place_of_worship,Cordoba
Anush Resto Bar,+54 351 4734251,no,,,restaurant,Cordoba
IPEM 174 Trinidad Moreno,+54 351 433 9171,no,,,school,Cordoba
Centro Educativo Rabindranath Tagore (Ex Municipal N° 33),+54 351 433 9199,no,,,school,Cordoba
Creambury,+54 351 469 3144,no,,https://creambury.com.ar/,cafe,Cordoba
Escuela Nicolás Berrotarán,+54 351 434 4124,no,,,school,Cordoba
Escuela República de Líbano,+54 351 481 8533,no,,,educational_institution,Cordoba
Jardín Almirante Guillermo Brown,+54 351 433 9173,no,,,kindergarten,Cordoba
Parroquia Nuestra Señora de Loreto,+54 351 466 3386,no,,http://loretocba.edu.ar,place_of_worship,Cordoba
Ingeniero Regino Manuel Maders,4348931,no,,,school,Cordoba
Colegio Nuestra Señora de Loreto,+54 351 466 3386,no,,,school,Cordoba
Centro Educativo Peter Pan,+54 351 477 1912,no,,,school,Cordoba
Shell,+54 351 241-8617,no,,,fuel,Cordoba
Escuela Alas Argentinas,+54 351 434 3145,no,,,school,Cordoba
Jardín de Infantes Juan Pablo ll,4858870,no,,,school,Cordoba
Escuela Nocturna República de Chile - Extensión Áulica SINPECAF,+54 351 4227351,no,,,school,Cordoba
Jardín Infantes Juan Mantovani,+54 3543 44 9240,no,,https://mantovani.edu.ar/,kindergarten,Cordoba
Consulado General de Perú,+54 351 4264196,no,,,diplomatic,Cordoba
Iglesia Nuestra Señora del Carmen,+54 351 422 4243,no,,,place_of_worship,Cordoba
Bar Sorocabana,+543514227872,no,,,cafe,Cordoba
Consulado de Francia,+54 351 4290915,no,sonzini@arnet.com.ar,,diplomatic,Cordoba
Shell Petrocord,+54 351 4552546,no,,https://find.shell.com/ar/fuel/AR_10002009-petrocord-s-a-c-f-i-f/es_AR,fuel,Cordoba
Late,+54 351 226-1894,no,,,restaurant,Cordoba
Banco Provincia de Córdoba,+54 351 433 6170,no,,,bank,Cordoba
Coco Loco,4220268,no,,,fast_food,Cordoba
Hugo Wast,+03514699912,no,,,school,Cordoba
Quimica Halac,+54 351 421 5102,no,info@quimicahalac.com.ar,https://quimicahalac.com.ar/,hardware,Cordoba
Cuates - Tacos y Lomos,+54 3543 42 3879,no,,,fast_food,Cordoba
Sex Cordoba Shop,+54 351 425 4071,no,,https://www.sexcordobashop.com.ar/,erotic,Cordoba
100x100 Lomo,+5493513587200,si,,www.facebook.com/100x100Lomo,restaurant,Cordoba
Área de Formación Docente y Producción Educativa,+54 0351 433-4088,no,edudis@eco.unc.edu.ar,https://www.eco.unc.edu.ar/inicio-fype,college,Cordoba
Disco,+54 351 471-1961,no,,,supermarket,Cordoba
Compostura de Calzado,4581713,no,,,shoemaker,Cordoba
Marozzi distribuidora,+54 351 451 2414,no,ventas@bateriasmarozzi.com.ar,,car_parts,Cordoba
Capilla Santa Teresita,+54 351 497 4197,no,vicariasantateresita@gmail.com,,community_centre,Cordoba
Augustus,+54 351 481 2367,no,,,confectionery,Cordoba
GNC Alianza,+54 351 465 5276,no,,,fuel,Cordoba
Fabrica Pc,+54 351 472 9366,no,rvlevet@gmail.com,https://fabricapc.com.ar/,electronics,Cordoba
Escuela Tercilio Gambino,+54 351 4343159,no,,,school,Cordoba
Centro de Salud 14 - General Bustos,+54 351 4336003,no,,,clinic,Cordoba
Centro de Salud 4 - Barrio Nueva Italia,+54 351 433 5123,no,,,clinic,Cordoba
Almacén de Mario,+54 351 427 0355,no,,,deli,Cordoba
Maxikiosco Tortuga,+54 351 344 3200,no,,http://www.facebook.com/maxikioscotortuga,kiosk,Cordoba
Farmagroup,+54 351 589 0950,no,,,pharmacy,Cordoba
La Parrilla de Raul,4214730,no,,,restaurant,Cordoba
Musgo Almacén de jardín,4814475,no,,,gift,Cordoba
Centro de Salud 61 - El Cerrito,+54 3543 449421,no,,,clinic,Cordoba
UPAS 2 - Barrio 16 de Noviembre,+54 3543 44 5430,no,,,clinic,Cordoba
Centro de Salud Primaria 33 - Barrio Arguello,+54 351 4338335,no,,,clinic,Cordoba
Centro de Salud 67 - 16 de Noviembre,+54 3543 44 9431,no,,,clinic,Cordoba
Parada 13,+54 351 876 0660,no,,,convenience,Cordoba
DeRose Method - Sede Córdoba,+54 351 422 2781,no,,,college,Cordoba
El Atajo,+54 351 6207882,no,,,bar,Cordoba
Almacén de Mario Delicatessen,+54 3543 42 1095,no,,,supermarket,Cordoba
Almacén de Mario Delicatessen,+54 351 421 7565,no,,,supermarket,Cordoba
Veterinaria La Tablada,+54 351 480 3454,no,,,veterinary,Cordoba
Barquitos de Papel,+54 351 425 6956,no,,,kindergarten,Cordoba
Gestor de Cordoba. Autos. Motos. Gonzalo 3512205097,+54 351 220 5097,no,santinogigena@gmail.com,,car,Cordoba
Gestoría del automotor,+54 351 277 2264,no,,,company,Cordoba
FoodLab,+54 9 2901 555060,si,,,fast_food,Cordoba
Mediatek S. A.,+54 351 482 9281,no,,http://mediatek-sa.com,community_centre,Cordoba
Wöllen,+54 351 421 1069,no,,https://wollen.com.ar/,cafe,Cordoba
ATLARES Crowdfunding Bitcoin & Networking,+54 351 347 5840,no,info@atlares.com,www.atlares.com,company,Cordoba
Deportes Iguazu,+54 351 425 8296,no,deportesiguazu@gmail.com,,sports,Cordoba
Deportes Iguazú,+54 351 465 4237,no,deportesiguazu@gmail.com,https://deportesiguazu.business.site/,sports,Cordoba
Systel S.A Balanzas y Basculas,+54 351 493 1001,no,,https://www.systel.com.ar/,electronics,Cordoba
Instituto Privado Deán Funes,+54 351 456 8164,no,info@institutodeanfunes.edu.com,http://www.institutodeanfunes.edu.com,school,Cordoba
Poeta Soho,+54 351 771 2015,no,poetasoho@gmail.com,,stationery,Cordoba
Super Verde,+54 351 240 1808,no,,,greengrocer,Cordoba
Jardín Maternal y pre Jardín PICARDIAS,4535998,no,,,school,Cordoba
Sabores del Perú,+543514717520,no,,https://www.saboresdelperu.com.ar/,restaurant,Cordoba
de botanas,+54 351 481 8776,no,,,restaurant,Cordoba
Oasis - Estética y Peluquería Canina,+543515060450,no,,,pet_grooming,Cordoba
Centro de Salud 60 -  Marqués Anexo,+54 351 4335122,no,,,clinic,Cordoba
Puente de Estrellas,+54 3543 42 8329,no,puentedeestrellas.micael@gmail.com,,school,Cordoba
Los Valles,+543514078477,no,,www.losvallessalud.com.ar,dentist,Cordoba
Caseritas del Norte,+543517885427,no,,,fast_food,Cordoba
Sushi World,+543512320027,no,,,restaurant,Cordoba
Nails & Co.,+5493517402961,si,,https://nailsandco.com.ar/,hairdresser,Cordoba
Catalina Calzados,+5493515595779,si,catalinacalzados@outlook.com.ar,,shoemaker,Cordoba
Chevromaxs,+54 351 424 7822,no,chevromaxs@gmail.com,http://www.chevromaxs.com.ar,car_parts,Cordoba
Mega Salud,+54 9 351 481-2233,si,,,centre,Cordoba
Centro de Salud 17 - Barrio Villa Azalais Oeste,+54 351 433 5109,no,,,clinic,Cordoba
ONE STAR,35142240011,no,,,fast_food,Cordoba
Parroquia Nuestra Señora del Carmen,+54 351 471 9445,no,pquiantrasenoradelcarmen@gmail.com,,place_of_worship,Cordoba
Centro de Salud 21 - Barrio Marqués De Sobremonte,+54 351 433 5105,no,,,clinic,Cordoba
Centro de Salud 63 - Barrio Parque Republica,+54 351 4337818,no,,,clinic,Cordoba
Consulado General de España,+54 351 469 7490,no,,,diplomatic,Cordoba
Miyazato Dojo Karate Do,+54 351 489 2584,no,,miyazatodojo.com,dojo,Cordoba
Disco,+54 351 433-2001,no,,,supermarket,Cordoba
Farmacia Pedernera,+5493518189594,si,pedernerafarmacia@gmail.com,,pharmacy,Cordoba
Farmacia Aglietti,+54 351 618 0210,no,,,pharmacy,Cordoba
Farmacia Juarez Ruffino IV,+54 351 476 0300,no,,https://www.farmaciajuarezruffino.com/,pharmacy,Cordoba
Consulado de Chile,+54 351 469 2010,no,,,diplomatic,Cordoba
Niquelados,4554739,no,,,car_repair,Cordoba
Waffles One Love,+54 351 422 7382,no,,,fast_food,Cordoba
A.MU.P.T.R.A. Asociación Mutual de Propietarios de Talleres de Reparación de Automotores,+54 351 480 1139,no,,,association,Cordoba
Virmanic SA,,no,jvalles@virmanicsa.com,,company,Cordoba
Carnes de Pelicula,+54 351 356 2244,no,,,butcher,Cordoba
Banco Patagonia,+54 351 465 3396,no,,http://bancopatagonia.com,bank,Cordoba
Betos,+54 351 465 6565,no,,https://betos.com.ar/,fast_food,Cordoba
Casa Manrique,+54 351 465 8077,no,,https://casamanriqueweb.com.ar/,furniture,Cordoba
Merlino,+54 351 466 9280,no,,https://www.merlinosrl.com.ar/,hardware,Cordoba
Centro de Salud 53 - Barrio Inaudi,+54 351 433 3314,no,,,clinic,Cordoba
Servicio Odontologico Municipal,+54 351 434 2249,no,,,clinic,Cordoba
Weiss Córdoba,+54 9 294 430 8892,si,,https://weissburger.com/,fast_food,Cordoba
Alliance Française,+54 351 4221129,no,,,school,Cordoba
Librería Blackpool,+54 351 423 7172,no,blackpool@arnet.com.ar,,books,Cordoba
La Esquina,+54 351 308-9882,no,,,fast_food,Cordoba
Maipu Automotores Vw,+54 351 485 9587,no,,,car_repair,Cordoba
Destacamento N° 19,+54 351 4333572,no,,,police,Cordoba
Mayo Helados,4684087,no,,,ice_cream,Cordoba
Máximo Rent a Car,+5493512297501,si,,https://rentacarcordoba.com/,car_rental,Cordoba
José Luis,4743958,no,,,upholsterer,Cordoba
Bull Power,+54 351 228 0347,no,,,car_repair,Cordoba
Mostaza,+54 351 730 0370,no,,,fast_food,Cordoba
Lomitería Popular,+54 351 211 4370,no,,https://easyorder.com.ar/lomiteria-popular-plaza-espana/,restaurant,Cordoba
Venex Computacion,,no,consultas@venexcomputacion.com,https://www.venexcomputacion.com,computer,Cordoba
La perla,+54 3514214112,no,,,restaurant,Cordoba
Paseo La Toscana,+54 351 309 6101,no,administracion@paseolatoscana.com,https://paseolatoscana.com.ar/puestos,clothes,Cordoba
Choripan El Luisito,+54 9 3546 40 7859,si,,,restaurant,Cordoba
Disco,+54 351 433-1023,no,,,supermarket,Cordoba
NÚCLEO Turismo,+54 351 460 2272,no,,,travel_agency,Cordoba
Sanatorio Francés,+54 351 561 1300,no,,,hospital,Cordoba
Oficial Line,+54 351 574-7580,no,,,electronics,Cordoba
ISADA - Instituto Secundario a Distancia para Adultos,+54 351 422 2292,no,,https://www.isada.edu.ar/,school,Cordoba
Harmonía,+54 351 522 4298,no,,,health_food,Cordoba
LomoLomo,+54 351 423 2799:+54 351 422 8353:+54 9 351 704 7074,no,,,restaurant,Cordoba
General Paz,+54 9 351 5425470,si,,,pharmacy,Cordoba
Jumbo,+54 351 482-8380,no,,,supermarket,Cordoba
Solar,+54 351 421-9702,no,,,restaurant,Cordoba
Bondio Motos - Sucursal YAMAHA,+54 351 425 4430,no,,,motorcycle,Cordoba
Farmacia Richieri,+54 351 4645038,no,,,pharmacy,Cordoba
Estrella II,4681133,no,,,pharmacy,Cordoba
Clinica Sucre S.r.l.,+54 351 446 6800,no,,,hospital,Cordoba
Clinica privada Junin,+54 351 411 4528,no,,,hospital,Cordoba
Imgo Instituto Modelo Privado De Ginecologia Y Obstetricia Sa,+54 351 421 6869,no,,https://www.imgo.com.ar/,hospital,Cordoba
Clinica Romagosa S.a.,+54 351 570 5000,no,,,hospital,Cordoba
Direccion De Medicina Del Trabajo,+54 351 524 3059,no,,,clinic,Cordoba
Hospital Aeronautico Cordoba,+54 351 429 8800,no,,,hospital,Cordoba
Sanatorio Mayo Privado S.A,+54 351 429 9280,no,,,hospital,Cordoba
Direccion De Especialidades Medicas Oeste,+54 351 433 7143,no,,,clinic,Cordoba
Centro De Salud 22 - Barrio Alberdi,+54 351 433 7310,no,,,clinic,Cordoba
Centro De Salud 9 - Barrio Alberdi Oeste,+54 351 433 7909,no,,,clinic,Cordoba
Centro Integral De Ginecologia Obstetricia Y Reproduccion Cigor,+54 351 469 4466,no,,,hospital,Cordoba
Hospital Privado Núñez,+54 3543 42 9142,no,,,hospital,Cordoba
Centro de Salud 7 - Barrio Pueyrredon,+54 351 4339135,no,,,clinic,Cordoba
Centro De Salud 8 - Barrio Acosta,+54 351 4338551,no,,,clinic,Cordoba
Centro de Salud 32 - Barrio Yapeyu,+54 351 4339110,no,,,clinic,Cordoba
CAPS Centro Integral Materno Infantil Cecilia Grierson,+54 351 4688625,no,,,clinic,Cordoba
Clinica de la Familia I,4251010,no,,https://clinicasdelafamilia.com.ar/,hospital,Cordoba
Centro De Salud 19 - Barrio Sargento Cabral,+54 351 4335110,no,,,clinic,Cordoba
Centro de Rehabilitación,+54 351 4346060 int. 236,no,,,clinic,Cordoba
Centro de Salud 16 - Barrio Zumarán,+54 351 4335108,no,,,clinic,Cordoba
Centro de Salud 94 Parque Liceo III Sección,+54 351 433 1924,no,,,clinic,Cordoba
Centro de Salud 1 - Barrio General Mosconi,+54 351 4335102,no,,,clinic,Cordoba
Centro De Salud 59 - Barrio Congreso,+54 351 433 3305,no,,,clinic,Cordoba
UPAS 36 - Barrio Cabildo,+54 351 434 3230,no,,,clinic,Cordoba
Centro de Salud 54 - Barrio Los Boulevares,+54 351 433 5442,no,,,clinic,Cordoba
Centro de Salud 5 - Barrio Yofre Norte,+54 351 433 9103,no,,,clinic,Cordoba
Centro de Salud 10 - Barrio Colonia Lola,+54 351 433 8763,no,,,clinic,Cordoba
Centro comunitario de acompañamiento integral Padre José Nasser,+54 351 433 6021,no,,,clinic,Cordoba
Centro de Salud 31 - Barrio La Salle,+54 3543 44 9427,no,,,clinic,Cordoba
Centro de Salud 89 - Villa Rivadavia,+54 351 433 3228,no,,,clinic,Cordoba
Centro de Salud 20 - Las Margaritas,+54 351 433 5104,no,,,clinic,Cordoba
Centro de Salud 48 - Barrio Villa Azalais Este,+54 351 433 5106,no,,,clinic,Cordoba
Clinica Privada Del Prado,+54 351 426 1971,no,,https://clinicadelprado.com.ar/,hospital,Cordoba
Centro de Salud 38 - Barrio Urquiza,+54 351 433 8555,no,,,clinic,Cordoba
Centro de Salud 46 - Barrio Santa Isabel,+54 351 433 3313,no,,,clinic,Cordoba
UPAS 1 - Barrio San Roque,+54 351 433 3210,no,,,clinic,Cordoba
UPAS 24 - Barrio Sachi,+54 351 433 3217,no,,,doctors,Cordoba
UPAS 6 - Barrio Estacion Flores,+54 351 433 3208,no,,,clinic,Cordoba
Centro de Salud 50 - Barrio Villa Adela,+54 351 433 3304,no,,,clinic,Cordoba
Centro De Salud 26 - Barrio La Madrid,+54 351 433 7306,no,,,clinic,Cordoba
Centro De Salud 23 - Barrio Rosedal Anexo,+54 351 433 3302,no,,,clinic,Cordoba
UPAS 15 - Barrio Albert Sabin,+54 351 433 3215,no,,,clinic,Cordoba
Centro De Salud 40 - Barrio Las Flores,+54 351 433 4353,no,,,clinic,Cordoba
CAPS Ciudad Ampliación Cabildo,+54 9 351 156321424,si,,,clinic,Cordoba
Centro De Salud 45 - Barrio Cabo Farina,+54 351 433 4356,no,,,clinic,Cordoba
UPAS 23 - Barrio Villa El Libertador,+54 351 433 3512,no,,,clinic,Cordoba
Centro Medico Complejo Carcelario 1 Reverendo Padre Luchesse,+54 351 434 2613,no,,,hospital,Cordoba
Centro de Salud 27 - Barrio Pilar,+54 351 433 8553,no,,,clinic,Cordoba
Casa Pueblo Sur,+54 351 672 6074,no,,https://www.facebook.com/casa.pueblosur/,community_centre,Cordoba
Centro de Salud 64 - Barrio Bialet Masse,+54 351 433 4288,no,,,clinic,Cordoba
Centro de Salud 15 - Barrio Remedios de Escalada,+54 0351 4332860/61,no,,,clinic,Cordoba
UPAS 95 - Camino 60 Cuadras,+54 351 434 8520,no,,,clinic,Cordoba
Centro de Salud 80 - Renacimiento,+54 351 433 8562,no,,,clinic,Cordoba
Centro de Salud 24 - Barrio Cupani,+54 0351 4333303/3518,no,,,clinic,Cordoba
Centro de Salud 52 - Barrio Villa Urquiza,+54 0351 4337338/7311,no,,,clinic,Cordoba
CAPS Panamericano,+54 9 0351 156310155,si,,,clinic,Cordoba
Centro de Salud 57 -  IPV Argüello,+54 3543 44 9432,no,,,clinic,Cordoba
Centro de Salud 78 - Parque Liceo II Sección,+54 351 433 2862,no,,,clinic,Cordoba
Banco Central de Sangre de la Provincia De Córdoba,+54 351 434 1556,no,,https://www.facebook.com/Banco-de-Sangre-de-la-Provincia-De-C%C3%B3rdoba-Argentina-180013335348702/,clinic,Cordoba
Centro de Salud 82 - Villa Allende Parque,+54 3543 43 9691,no,,,clinic,Cordoba
Centro de Salud 34 Los Nogales - Barrio 9 De Julio,+54 3543 44 9428,no,,,clinic,Cordoba
Clinica Privada Caraffa,+54 351 427 3333,no,,http://www.clinica-caraffa.com.ar/,hospital,Cordoba
Centro de Salud 90 - Ituzaingo Anexo,+54 351 434 8527,no,,,clinic,Cordoba
Centro de Salud 92 - Los Cortaderos,+54 351 542 2424,no,,,clinic,Cordoba
Centro de Salud 62 - Villa Cornú,+54 351 433 7818,no,,,clinic,Cordoba
Centro de Salud 56 - Barrio Empalme,+54 351 433 8561,no,,,clinic,Cordoba
Laboratorio de Ceprocor - Agencia Cordoba Ciencia,+54 351 434 2490,no,,,laboratory,Cordoba
Centro de Salud 13 -  Hipolito Yrigoyen,+54 351 433 5435,no,,,clinic,Cordoba
Centro de Rehabilitación Hospital Misericordia,+54 351 433 4365,no,,https://www.cba.gov.ar/red-provincial-de-rehabilitacion/,rehabilitation,Cordoba
Centro Alto Rendimiento Deportivo - Agencia Cordoba Deportes,+54 351 434 8360,no,,https://www.cba.gov.ar/centro-de-alto-rendimiento-deportivo-card/consultorios-medicos/,clinic,Cordoba
Centro de Salud 88 - Chacra de la Merced,+54 9 0351 156100370,si,,,clinic,Cordoba
CAPS General Savio,+54 9 351 153916636,si,,,clinic,Cordoba
Centro de Salud de Los Cedros,+54 9 0351 156626150,si,,,clinic,Cordoba
Ferretería - cerrajería San Luis,+5493512293791,si,,,hardware,Cordoba
