empresa,cuit,telefono,localidad,provincia,tel_util
CAR SECURITY S.A.,30-69874417-7,,OLIVOS,BUENOS AIRES,no
CARDIOLAB S.A.,30-56164677-1,(011  )4815-1426,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"CARINCI, FEDERICO",20-27399711-4,(011  )4530-2510,CABA,CIUDAD DE BUENOS AIRES,si
CARL ZEISS VISION ARGENTINA S.A.,30-60839264-1,(011  )4372-2452,CABA,CIUDAD DE BUENOS AIRES,si
CARLOS KARABITIAN S.A.,30-71337290-7,(011  )4801-4177,CABA,CIUDAD DE BUENOS AIRES,si
CARME S.R.L,30-69669479-2,(011  )4683-0905,CABA,CIUDAD DE BUENOS AIRES,si
CARREFOUR ARGENTINA S.A.,30-58462038-9,(011  )4733-7700,MARTINEZ,BUENOS AIRES,si
"CARREIRA, ANGEL HERNAN",20-25295913-1,(011  )6612-5543,LOMAS DEL MIRADOR,BUENOS AIRES,si
CARRIER FUEGUINA SOCIEDAD ANONIMA,30-70943921-5,(011  )5037-1977,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
CARRIER S.R.L.,33-50392124-9,(011  )4208-8041,VALENTIN ALSINA,BUENOS AIRES,si
CARSA S.A.,33-57226644-9,(0362 )445 -6000,RESISTENCIA,CHACO,si
CARTRONIC S.A.,30-71085256-8,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CARUBBI BRITOS COMUNICACIONES S.R.L.,30-54989986-9,(011  )4207-8600,QUILMES OESTE,BUENOS AIRES,si
CARVAJAL S.A.I.C.,33-51706711-9,(011  )4652-8128,VILLA INSUPERABLE,BUENOS AIRES,si
CASA ALEJANDRO KLEIN DE CANEPA DE KLEIN MARTHA ELENA Y KLEIN ANDRES,30-53634603-8,,MAR DEL PLATA,BUENOS AIRES,no
CASA TRASORRAS S.C.,30-57746610-2,(011  )4374-3910,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CASHPOWER SUDAMERICANA S.A.,30-68062651-7,(011  )5404-2290,CABA,BUENOS AIRES,si
CASINO MELINCUE S.A.,30-70975372-6,(03465)49  -9700,MELINCUE,SANTA FE,si
"CASSI, PABLO RICARDO",20-25284389-3,(011  )4653-9476,CIUDADELA,BUENOS AIRES,si
CASTILLO CARLOS CHAVEZ HUMBERTO SALGADO ABEL CESAR ARGAÑARAZ HUGO S.H.,30-65792625-2,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CCG CONSULTING S.R.L.,30-71845289-5,(011  )6897-3125,CABA,CIUDAD DE BUENOS AIRES,si
CCH E HIJOS S.R.L.,30-69598014-7,(011  )4932-1000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CDO GROUP SOCIEDAD ANONIMA,30-71624944-8,(011  )6612-5543,CABA,CIUDAD DE BUENOS AIRES,si
"CEBALLOS, SERGIO DANIEL",00-17158051-0,(0351 )552 -9488,CORDOBA,CORDOBA,si
CELER COMEX S.R.L.,30-71567985-6,(011  )5258-4536,CABA,CIUDAD DE BUENOS AIRES,si
CELISTICS S.A.,30-71086852-9,(011  )4132-5602,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CELLULAR PLUS B.S. A.S. S.A.,30-71052175-8,(011  )3575-0978,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CEM CONSULTING S.A.,30-71129801-7,(011  )4342-1310,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CENTRAL STATION ARGENTINA S.R.L.,30-65046081-9,(0351 )471 -7171,CORDOBA,CORDOBA,si
CENTRO DE LA INFORMATICA S.A.,30-70934428-1,(011  )5282-7400,CABA,CIUDAD DE BUENOS AIRES,si
CENTRO MILANO S.A.,30-71083989-8,(011  )5544-0900,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CENTRO VECINAL DEPARTAMENTAL BAÑADO DE OVANTA,30-70735772-6,,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CENTRY S.A.,30-70979480-5,(011  )4942-7111,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CERAGON ARGENTINA S.A.,30-70749399-9,,CABA,CIUDAD DE BUENOS AIRES,no
CETIB S.R.L.,30-68335221-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CFQ COMUNICACIONES S.R.L.,30-70996051-9,(011  )4962-0706,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CGF IMPORTS S.R.L.,30-70829206-7,(011  )5236-9063,CABA,CIUDAD DE BUENOS AIRES,si
CH INTERNATIONAL ARGENTINA S.R.L.,30-70878756-2,,CABA,CIUDAD DE BUENOS AIRES,no
"CHAIJ, GUSTAVO MARCELO",20-22033605-1,(0351 )552 -7795,CORDOBA,CORDOBA,si
CHAN ONE S.A.,30-71504042-1,(03327)453 -0500,TORTUGUITAS,BUENOS AIRES,si
"CHASCO, ROBERTO DANIEL",20-17502422-1,(02942)43  -0701,ZAPALA,NEUQUEN,si
CHEP ARGENTINA S.A.,30-69620713-1,(011  )5365-8455,CABA,CIUDAD DE BUENOS AIRES,si
"CHIAVETTA, ALEJANDRO FABIAN",20-32823650-9,(0261 )248 -4343,SAN JOSE,MENDOZA,si
"CHICA, CESAR FRANCISCO",20-14302501-3,(0387 )422 -0314,SALTA,SALTA,si
CHRYSLER ARGENTINA S.R.L.,30-71031554-6,(0351 )410 -2626,CABA,CIUDAD DE BUENOS AIRES,si
CI 5 S.A.,30-67948859-3,(011  )5949-3616,OLIVOS,BUENOS AIRES,si
"CIAFARDINI, ELIZABETH CRISTINA",23-94473570-4,(011  )4519-8480,CABA,CIUDAD DE BUENOS AIRES,si
CIENTO OCHO SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-71706126-4,(0341 )373 -8393,ROSARIO,SANTA FE,si
CIKA ELECTRONICA S.R.L.,30-63098466-8,(011  )4523-6068,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CIRION TECHNOLOGIES ARGENTINA S.A.,30-62674717-1,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CISCO SYSTEMS ARGENTINA S.A.,30-68990729-2,(011  )4341-0100,CABA,CIUDAD DE BUENOS AIRES,si
CIUDADES DIGITALES S.R.L.,30-71446870-3,(011  )5325-2581,CABA,CIUDAD DE BUENOS AIRES,si
CLADIRECT S.A.,30-71026952-8,(011  )6716-3155,CABA,CIUDAD DE BUENOS AIRES,si
CLAR ARG S.A.,33-70896622-9,(011  )4787-3178,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CLAR SERVICE S.R.L.,30-71244755-5,(011  )6702-8559,CABA,CIUDAD DE BUENOS AIRES,si
CLAVE ELECTRONICA S.A.,30-68004736-3,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
"CLIMATE, CONTROLS & SECURITY ARGENTINA S.A.",30-69727100-3,(011  )4309-9500,CABA,CIUDAD DE BUENOS AIRES,si
CLIP & CO S.R.L.,30-70726395-0,(011  )4657-3032,RAMOS MEJIA,BUENOS AIRES,si
CLOUD GROUP S.A.,30-71555176-0,(011  )6731-8852,DON TORCUATO,BUENOS AIRES,si
CNH ARGENTINA S.A.,30-71680187-6,(0351 )235 -0558,CABA,CIUDAD DE BUENOS AIRES,si
CNH INDUSTRIAL ARGENTINA S.A.,30-58589526-8,(011  )5236-5596,CABA,CIUDAD DE BUENOS AIRES,si
CNH INDUSTRIAL ARGENTINA S.A.,30-65872071-2,(0351 )410 -2690,CABA,CIUDAD DE BUENOS AIRES,si
COARPRO S.A.,30-51725123-9,(0261 )430 -4798,MENDOZA,MENDOZA,si
COASIN COMUNICACIONES S.A.,30-65848786-4,(011  )4343-1366,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COASIN SOCIEDAD ANONIMA COMERCIAL INDUSTRIAL Y FINANCIERA,30-53914848-2,(011  )4555-3321,CABA,CIUDAD DE BUENOS AIRES,si
"COLOMBO, GRACIELA TELMA",23-02313929-4,(011  )4304-5251,CABA,CIUDAD DE BUENOS AIRES,si
COLOR CELLS S.A.,30-68493921-8,(011  )4585-5000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMDAT S.A.,30-68779768-6,(011  )4785-7588,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMDELSUR S.R.L.,30-70981225-0,(011  )4991-9826,CABA,CIUDAD DE BUENOS AIRES,si
COMDIAL ARGENTINA S.A.,30-68633100-4,(011  )4314-0424,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
COMERCIAL ALPACA S.A.,30-70721269-8,(011  )4867-1001,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMERCIAL MONTRES S.A.,30-54173516-6,(011  )4375-2845,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
COMERCIALIZADORA DE BIENES DE CAPITAL S.A.,30-59319937-8,,RAFAELA,SANTA FE,no
COMEX CONSULTORES ASOCIADOS S.R.L.,30-71058356-7,,C.A.B.A.,CIUDAD DE BUENOS AIRES,no
COMINTER S.A.,30-61552218-6,(0291 )454 -8424,BAHIA BLANCA,BUENOS AIRES,si
COMMLOGIK ARGENTINA S.A.,30-70705981-4,(011  )4393-9700,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMMSCOPE CONNECTIVITY ARGENTINA S.A.,30-52176579-4,(011  )7090-3229,CABA,CIUDAD DE BUENOS AIRES,si
COMMSCOPE SOLUTIONS ARGENTINA S.R.L.,30-70863775-7,(011  )4310-2200,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMMUNICATION SYSTEMS S.R.L.,30-70949581-6,(011  )4785-7588,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMPAÑIA ARGENTINA DE MERCHANDISING S.A.,30-70913513-5,(011  )4104-4631,LA TABLADA,BUENOS AIRES,si
COMPANIA DE COMERCIO S.A.,30-71557559-7,(011  )4342-0674,CABA,CIUDAD DE BUENOS AIRES,si
COMPAÑIA DE INSTALACIONES TELEFONICAS Y ELECTRICAS CITE S.A.,30-67989115-0,(011  )4345-1086,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES S.A.,30-62441865-0,(011  )5321-2214,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMPAÑIA ELECTRONICA EN COMUNICACIONES S.R.L.,33-62691406-9,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
"COMPAÑIA ERICSSON SOCIEDAD ANONIMA, COMERCIAL E INDUSTRIAL",30-52605819-0,(011  )4319-5500,CABA,CIUDAD DE BUENOS AIRES,si
"COMPAÑIA HASAR SOCIEDAD ANONIMA, INDUSTRIAL Y COMERCIAL",30-61040056-2,,CABA,CIUDAD DE BUENOS AIRES,no
COMPAÑIA MSA DE ARGENTINA S.A.,30-68307545-7,(011  )4727-4600,CABA,CIUDAD DE BUENOS AIRES,si
"COMPAÑIA PAPELERA SARANDI SOCIEDAD ANONIMA, INDUSTRIAL, COMERCIAL, INVERSORA, INMOBILIARIA Y AGROPECUARIA",30-53560171-9,,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
COMPAQ LATIN AMERICA CORPORATION SUCURSAL ARGENTINA,30-64000318-5,(011  )4310-2200,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
COMPRANDOENGRUPO.NET S.A.,30-71211681-8,(0351 )657 -8754,CORDOBA,CORDOBA,si
COMPTOR S.A.,30-67659289-6,(011  )4954-0078,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMPUFAX S.A.,30-63266577-2,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
COMPUMANIA S S.A.,30-70775416-4,,SAN JUSTO,BUENOS AIRES,no
COMPUMUNDO S.A.,30-68211572-2,(011  )4556-8000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMPUTACION BKO S.A.,30-57790846-6,(011  )4362-5840,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COMSALE S.R.L.,30-71060602-8,(011  )4932-6000,CABA,CIUDAD DE BUENOS AIRES,si
COMSYS S.R.L.,30-66833659-7,(0351 )425 -3969,CORDOBA,CORDOBA,si
COMUNICACIONES MOVILES Y CELULARES CM&C S.R.L.,33-66349318-9,(011  )4682-0180,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
"COMUNICACIONES, COMANDO, CONTROL, COMPUTACION E INFORMACION S.A.",30-65539930-1,(011  )6839-7919,CABA,CIUDAD DE BUENOS AIRES,si
CONARCO ALAMBRES Y SOLDADURAS S.A.,30-55825751-9,(011  )5586-1423,VILLA LINCH,BUENOS AIRES,si
CONECTAR S.R.L.,30-70755977-9,(0351 )557 -5679,CORDOBA,CORDOBA,si
CONECTIA WIRELESS S.A.,30-71052775-6,(011  )5281-8845,CABA,CIUDAD DE BUENOS AIRES,si
"CONESA, EDGARDO",20-04698296-8,(03731)42  -1492,CHARATA,CHACO,si
CONGRESS NET ARGENTINA S.A.,30-70477854-2,(011  )4006-6500,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CONNECT S.A.,30-63405190-9,(011  )4331-7474,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CONSTRURED S.R.L.,30-70716774-9,(03327)48  -1427,SAN PEDRO,BUENOS AIRES,si
CONSULFEM S.A.,30-63748972-7,(0351 )476 -0099,CORDOBA,CORDOBA,si
"CONTI, HUGO JORGE",20-11569183-0,(011  )4772-0551,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LIMITADA,30-71063444-7,(011  )5554-3603,CABA,CIUDAD DE BUENOS AIRES,si
CONTROL PARA LA INDUSTRIA S.A.,30-60447926-2,(011  )6010-6318,CABA,CIUDAD DE BUENOS AIRES,si
CONTROLES COMUNICACIONES S.A.,30-67735640-1,(011  )4833-0020,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
CONVERTECH S.A.,30-70820344-7,(011  )4433-0297,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COOPERATIVA DE TRABAJO PRODUCCION TECNOLOGICA GRAFICA AUDIOVISUAL LIMITADA,30-71407164-1,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
"COOPERATIVA REGIONAL DE ELECTRICIDAD, DE OBRAS Y OTROS SERVICIOS DE GENERAL PICO LIMITADA CORPICO",30-54571938-6,(02302)33  -5555,GENERAL PICO,LA PAMPA,si
COOPERATIVA TELEFONICA DE CALAFATE LIMITADA,30-57143756-9,,EL CALAFATE,SANTA CRUZ,no
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA,30-54579512-0,(011  )4053-9220,VILLA GESELL,BUENOS AIRES,si
COPECA S.R.L.,30-53136512-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
COPPEL S.A.,30-71041150-2,(011  )5555-2550,TIGRE,BUENOS AIRES,si
CORA-DIR S.A.,30-67338016-2,,CABA,CIUDAD DE BUENOS AIRES,no
CORCISA S.A.,30-69609053-6,(011  )4943-8000,CABA,CIUDAD DE BUENOS AIRES,si
CORESA GROUP S.R.L.,30-71178446-9,(0810 )222 -2882,CABA,CIUDAD DE BUENOS AIRES,si
CORPORACION IMPORTADORA Y EXPORTADORA S.A.,30-59059299-0,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CORPORACION TELEFONICA INTERNACIONAL,30-67813632-4,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
CORPORATE CORP S.A.,33-70941686-9,,CABA,CIUDAD DE BUENOS AIRES,no
CORTESFILMS ARGENTINA S.A.,30-53753449-0,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
CORVEN MOTORS ARGENTINA S.A.,30-71027733-4,(011  )3157-7566,VENADO TUERTO,SANTA FE,si
COS MANTENIMIENTO S.A.,30-70863235-6,(011  )4000-6850,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
COSECUR S.A.,30-64525594-8,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
COTO CENTRO INTEGRAL DE COMERCIALIZACION S.A.,30-54808315-6,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
COVIDIEN ARGENTINA S.A.,30-71252366-9,(011  )5297-7200,CABA,CIUDAD DE BUENOS AIRES,si
CRAYON WEB S.R.L.,30-71015683-9,(0341 )501 -6820,ROSARIO,SANTA FE,si
CREATIVE INVESTMENTS S.R.L.,30-71102029-9,(011  )6490-3300,SAN ISIDRO,BUENOS AIRES,si
CREDIL S.R.L.,30-62221630-9,,LA PLATA,BUENOS AIRES,no
CRIMSON S.R.L.,30-62385741-3,(011  )4653-6343,RAMOS MEJIA,BUENOS AIRES,si
CRINSURANCE SOCIEDAD POR ACCIONES SIMPLIFICADA,30-71643218-8,(0221 )537 -6233,LA PLATA,BUENOS AIRES,si
CRONOS S.A.I.C.,30-50155507-6,(011  )4312-3061,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
CUBIKO S.R.L.,30-71912012-8,(011  )6461-0805,CABA,CIUDAD DE BUENOS AIRES,si
"CULLA, ADRIANA ALICIA",27-12646883-6,(011  )5217-9472,CABA,CIUDAD DE BUENOS AIRES,si
CV CONTROL S.A.,30-65707539-2,(011  )4932-2322,CABA,CIUDAD DE BUENOS AIRES,si
CYBERCOM CABLE & WIRELESS S.R.L.,30-70998127-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
CYBERLOGIC S.R.L.,30-71180316-1,(011  )2060-9911,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"D AGOSTINO, FERNANDO MARIA",20-12210574-2,(0343 )492 -1034,VIALE,ENTRE RIOS,si
"D ALICANDRO, HECTOR EDUARDO",20-08558505-4,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
"D AMBROS, SERGIO ANIBAL",20-14687720-7,(0345 )421 -1362,CONCORDIA,ENTRE RIOS,si
D-LINK SUDAMERICA S.A. SUCURSAL ARGENTINA,30-70984650-3,(011  )5246-6640,CABA,CIUDAD DE BUENOS AIRES,si
D.F. MEGAFRIO S.R.L.,30-69255874-6,(0223 )618 -6323,MAR DEL PLATA,BUENOS AIRES,si
DACAS S.A.,30-66293707-6,(011  )4545-6333,CABA,CIUDAD DE BUENOS AIRES,si
DAEC ELECTRONICA S.C.,30-62054867-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
DAIKIN AIR CONDITIONING ARGENTINA S.A.,30-70749662-9,(011  )4326-8881,CABA,CIUDAD DE BUENOS AIRES,si
DAL SANTO INDUSTRIAL Y COMERCIAL S.A.,30-55356660-2,(03327)455 -0400,TORTUGUITAS,BUENOS AIRES,si
DALUX S.A.,30-70931715-2,(0351 )481 -5982,CORDOBA,CORDOBA,si
DAMEZ ELECTRONICA PROFESIONAL S.R.L.,30-62467063-5,(011  )4639-1014,CABA,CIUDAD DE BUENOS AIRES,si
DANAIDE S.A.,30-70168121-1,,BERISSO,BUENOS AIRES,no
DANFOSS SOCIEDAD ANONIMA,33-51644453-9,(011  )5556-7000,MUNRO,BUENOS AIRES,si
DANIEL QUIROGA S.R.L.,30-64366511-1,(0264 )420 -0788,SAN JUAN,SAN JUAN,si
DATANDHOME SUPPLIER S.A.,30-70806550-8,(011  )4545-5100,CABA,CIUDAD DE BUENOS AIRES,si
DATAWAVES S.R.L.,33-62634638-9,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
DATCO S.A.,30-59611620-1,(011  )4103-1300,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DAXA ARGENTINA S.A.,30-70724707-6,,CABA,CIUDAD DE BUENOS AIRES,no
DC LOGISTICS S.A.,30-71573740-6,(011  )5353-8770,CABA,CIUDAD DE BUENOS AIRES,si
"DE CASTRO CECILLON, JEAN PIERRE",20-93795763-8,(011  )4896-1284,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DEER TECNOLOGY S.A.,30-71667850-0,(011  )3411-5309,CABA,CIUDAD DE BUENOS AIRES,si
DEITRES S.A.,30-71109039-4,(0223 )495 -2500,MAR DEL PLATA,BUENOS AIRES,si
DEKALB ARGENTINA S.A.,33-51160816-9,(011  )4311-8634,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
DELAVAL S.A.,30-57253099-6,(03401)42  -2192,EL TREBOL,SANTA FE,si
DELFAU S.A.,33-61262171-9,,CABA,CIUDAD DE BUENOS AIRES,no
DELL AMERICA LATINA CORP.,30-70719842-3,(011  )4515-7100,CABA,CIUDAD DE BUENOS AIRES,si
DELOS SUDAMERICANA S.A.,30-62866167-3,(011  )4982-4221,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DELSAT GROUP S.A.,30-68136213-0,(0223 )494 -5001,MAR DEL PLATA,BUENOS AIRES,si
DELTA COMUNICACIONES S.R.L.,30-57089676-4,(011  )4760-8426,FLORIDA OESTE,BUENOS AIRES,si
DELTALUX S.A.,30-70891354-1,(0351 )246 -4065,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DEMEDIC S.A.,30-61813102-1,(011  )4958-0536,CABA,CIUDAD DE BUENOS AIRES,si
DEVELCOP S.A.,30-70829069-2,(011  )4953-5285,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DGT ELECTRONICA S.A.,30-58050972-6,(011  )4752-0601,SIN DENOMINACION,BUENOS AIRES,si
DIA ARGENTINA S.A.,30-68584975-1,(011  )5883-4487,CABA,CIUDAD DE BUENOS AIRES,si
DICOMTEC S.R.L.,33-70842432-9,(011  )4326-7280,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DIDEFON S.A.,30-56039122-2,(011  )4300-5533,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
DIGI-CONTROL S.R.L.,30-62354486-5,(011  )4581-0180,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
DIGITAL 3 S.A.,30-70977219-4,(011  )5006-0700,CABA,CIUDAD DE BUENOS AIRES,si
DIGITAL COM S.R.L.,30-69935543-3,(011  )6261-2100,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DIGITAL FUEGUINA S.A.,30-70956490-7,(02964)42  -0289,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
DIGTIA S.R.L.,30-71182692-7,,CABA,CIUDAD DE BUENOS AIRES,no
DIKZA S.R.L.,30-71512879-5,(011  )4311-1120,CABA,CIUDAD DE BUENOS AIRES,si
DIMERAL S.A.,30-63454581-2,(011  )4375-0970,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DINALIGHT S.R.L.,30-71150874-7,(011  )4547-0034,CABA,CIUDAD DE BUENOS AIRES,si
DINATECH S.A.,30-70783096-0,(011  )6091-8880,CABA,CIUDAD DE BUENOS AIRES,si
DINT S.A.,30-71052426-9,,SANTA FE,SANTA FE,no
"DIPAOLA, CAROLINA",27-20837261-6,(011  )5328-0787,NORDELTA,BUENOS AIRES,si
DIPREM COMERCIALIZADORA S.A.,30-71873488-2,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
DIRECTEL DE ARGENTINA S.A.,30-68713382-6,(011  )4328-8400,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DIRECTV ARGENTINA S.A.,30-68588939-7,(011  )4321-2500,MUNRO,BUENOS AIRES,si
DISCAR S.R.L.,33-62236216-9,(0351 )472 -4424,CORDOBA,CORDOBA,si
DISDECO S.A.,30-64152774-9,(011  )4551-6906,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DISGLAS S.R.L.,30-67938513-1,,BERAZATEGUI,BUENOS AIRES,no
DISTECNA S.A.,33-70884437-9,(011  )5166-3400,CABA,CIUDAD DE BUENOS AIRES,si
DISTECNA.COM S.A.,30-71463682-7,(011  )5166-3400,CABA,CIUDAD DE BUENOS AIRES,si
DISTRIBUIDORA AUTOMOTRIZ ARGENTINA S.A.,30-71185060-7,(011  )4069-3052,CABA,CIUDAD DE BUENOS AIRES,si
DISTRIBUIDORA CUMMINS S.A.,30-65596500-5,(011  )6410-1867,CABA,CIUDAD DE BUENOS AIRES,si
DITEL SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-65336319-9,(0351 )652 -7820,CORDOBA,CORDOBA,si
"DIZ VEDIA, EDGAR RICARDO",20-92138678-9,(011  )4953-8889,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DMC STRATEX NETWORKS INC.,33-70083961-9,(011  )4717-2613,MARTINEZ,BUENOS AIRES,si
DMC WIRELESS SYSTEMS S.A.,30-70905332-5,,MARTINEZ,BUENOS AIRES,no
"DOMENECH, RAFAEL IÑIGO",20-38588538-6,(03407)44  -1691,VILLA RAMALLO,BUENOS AIRES,si
"DONATO, JEREMIAS",20-34513274-1,(011  )6242-8965,FLORIDA,BUENOS AIRES,si
"DONATO, RUBEN DANIEL - PETTINARI, GABRIEL HUGO - GILARDONI, BERNARDO ANDRES",30-66163899-7,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
DONTO S.A.,30-68149138-0,(011  )4322-1575,CABA,CIUDAD DE BUENOS AIRES,si
DORINKA S.R.L.,30-67813830-0,,CABA,CIUDAD DE BUENOS AIRES,no
DOSISUR S.R.L.,30-71401834-1,(0299 )410 -8878,NEUQUEN,NEUQUEN,si
DR IMPORTS SECURITY SYSTEMS S.R.L.,30-68503172-4,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
DR. DANIEL A. GOMEZ Y ASOCIADOS S.A.,33-62259026-9,(011  )4201-2317,AVELLANEDA,BUENOS AIRES,si
DRAFT S.R.L.,33-61229901-9,(011  )4308-0444,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DRAGER ARGENTINA S.A.,30-70966220-8,,CABA,CIUDAD DE BUENOS AIRES,no
DREAN S.A.,30-50268047-8,(011  )4634-1365,CABA,CIUDAD DE BUENOS AIRES,si
DRECKNET S.R.L.,30-70954932-0,(011  )5639-0707,CABA,CIUDAD DE BUENOS AIRES,si
DRIHM S.R.L.,30-66103961-9,(011  )4584-7200,CABA,CIUDAD DE BUENOS AIRES,si
DROGUERIA COMARSA S.A.,30-70708588-2,(0341 )437 -0353,ROSARIO,SANTA FE,si
